query,comment,true_label
Best smoke for Window on Mirage?,"Seconding this advice. Go into the corner by T spawn, aim at the rug overlapping the wall, forward jump-throw.",1
Is stealth viable in Cyberpunk Phantom Liberty?,Phantom Liberty specifically has a stealth mission where silenced pistols shine.,1
How does the economy work for loss bonus?,"1900 base loss, +500 for each consecutive loss maxing at 2900. This strategy helped me a lot.",1
Best way to hold B site on Dust 2?,"This is solid advice: Use an incendiary on the tunnel stairs if they execute, buys you 7 seconds.",1
Best smoke for Window on Mirage?,Strip mine at Y -58 or -59. Bring a water bucket for lava.,0
How to cure a zombie villager?,Does anyone know when the DLC drops?,0
Best way to hold B site on Dust 2?,Who else remembers when this game first launched?,0
Where to get the Apogee Sandevistan?,"It's just RNG honestly, keep trying.",0
How to cure a zombie villager?,"Get a brewer, make weakness potion, splash it on the zombie, give it a gold apple. This made a huge difference.",1
How does the economy work for loss bonus?,Just tried this. Never save an op if you're the last alive on attack. You won't get loss bonus.,1
Is stealth viable in Cyberpunk Phantom Liberty?,Why are the devs ignoring the real bugs?,0
When should you buy a helmet on CT side?,This is solid advice: Skip the head armor if the enemy economy is maxed. It saves you enough for a flashbang.,1
How do you dodge Waterfowl Dance from Malenia?,Bloodhound Step makes the timing incredibly forgiving just spam backwards.,1
Best cyberdeck for a netrunner build 2.0?,Always buy helmet if Ts are force buying Mac-10s or Tec-9s.,0
How do you dodge Waterfowl Dance from Malenia?,Light roll gives you enough distance to simply backstep out of range.,1
How to improve aiming in Valorant?,Seconding this advice. Only burst 2-3 bullets then strafe. Spraying is pure RNG after bullet 4.,1
Best way to hold B site on Dust 2?,"Here's what worked for me: Throw an incendiary deep into lower tunnels to stop the rush, then flash out.",1
What are the soft caps for Vigor in Elden Ring?,I miss the old days before the nerfs.,0
Where to get the Apogee Sandevistan?,It spawns at ripperdocs when you hit Street Cred 50 and Level 40. Tested this myself and it works perfectly.,1
Best way to hold B site on Dust 2?,Any asked?,0
What are the soft caps for Vigor in Elden Ring?,"Aim for 40 early game, then push to 60 for Mountaintops of the Giants. This made a huge difference.",1
What are the soft caps for Vigor in Elden Ring?,"The first major soft cap is 40, the hard cap where you stop is 60.",1
When should you buy a helmet on CT side?,I think the soundtrack is the best part of this game.,0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,This is the correct answer. Defeat the Crystalian in Raya Lucaria Crystal Tunnel. Bring a strike weapon.,1
Best cyberdeck for a netrunner build 2.0?,Skip the head armor if the enemy economy is maxed. It saves you enough for a flashbang.,0
What is the most efficient way to get Netherite?,"TNT mining at Y level 15. If you lack gunpowder, use beds instead. This strategy helped me a lot.",1
What is the best build to beat the Elden Beast?,"From my experience, Crimsonwhorl Bubbletear completely negates the holy beam attacks.",1
What are the soft caps for Vigor in Elden Ring?,I just spent 10 hours playing and forgot to eat.,0
Best cyberdeck for a netrunner build 2.0?,Seconding this advice. Raven Microcyber is best for contagion builds since it spreads immediately.,1
Is stealth viable in Cyberpunk Phantom Liberty?,"It's just RNG honestly, keep trying.",0
How does the sub-tick system work in CS2?,It breaks tickrate reliance. The server knows exactly when your mouse clicked. Tested this myself and it works perfectly.,1
Best way to hold B site on Dust 2?,This is the correct answer. Play car. You get a perfect crossfire if your teammate plays window or doors.,1
Best controller agent for Ascent?,Omen. You can use his paranoia down B main to stop the entire rush. Would definitely recommend trying this.,1
Is stealth viable in Cyberpunk Phantom Liberty?,Who else remembers when this game first launched?,0
Is stealth viable in Cyberpunk Phantom Liberty?,"If you survive the round but lose the objective, you only get 1000 credits.",0
How to improve aiming in Valorant?,Petition to ban the developers.,0
Best smoke for Window on Mirage?,Skill issue.,0
How does the economy work for loss bonus?,Can someone gift me a skin?,0
How does the economy work for loss bonus?,Seconding this advice. Loss bonus maxes at 2900. Use this to calculate if you can buy next round.,1
What is the best Y level to mine for diamonds in 1.20?,It's great. Grab the 'Gag Order' perk and you can stealth-kill enemies in crowds.,0
What is the best eco weapon round 2 after winning pistol?,"It's just RNG honestly, keep trying.",0
What is the best build to beat the Elden Beast?,"Stay behind it when it breathes fire, you can get 4-5 free hits. Tested this myself and it works perfectly.",1
Best controller agent for Ascent?,Omen. You can use his paranoia down B main to stop the entire rush.,1
What is the best build to beat the Elden Beast?,Summon Mimic Tear in phase 1 to save it. Focus on physical damage.,1
What is the best build to beat the Elden Beast?,Servers are down again. Awesome.,0
How to improve aiming in Valorant?,My cat walked on my keyboard and played better than you.,0
Where to get the Apogee Sandevistan?,Touch grass.,0
Best controller agent for Ascent?,Has anyone tried the new update? It broke my save file.,0
How to use the Sandy effectively in melee?,Make sure to get the 'Bullet Time Ninja' perk tree for infinite stamina during it.,1
What is the best Y level to mine for diamonds in 1.20?,Servers are down again. Awesome.,0
When should you buy a helmet on CT side?,"This is the correct answer. If Ts are on eco, helmet is mandatory so you don't get one-tapped by a glock.",1
What is the best Y level to mine for diamonds in 1.20?,I just started playing this game yesterday and I have no idea what's going on.,0
How do you dodge Waterfowl Dance from Malenia?,"Visuals still render at the framerate/tickrate, but the damage is calculated on the sub-tick.",0
How to cure a zombie villager?,"I agree. Weakness potion first, then golden apple. They will give you massive trade discounts after.",1
Best way to hold B site on Dust 2?,Petition to ban the developers.,0
How to use the Sandy effectively in melee?,"Satori katana gives insane crit damage, perfect for slowed headshots.",1
What are the soft caps for Vigor in Elden Ring?,"If you miss the T-spawn one, go top mid and bank it off the right wall above window.",0
How do you build a fully automatic wheat farm?,Does anyone know when the DLC drops?,0
Best controller agent for Ascent?,Omen is easily the best. He can one-way the A main entrance easily.,1
Best way to hold B site on Dust 2?,Smoke tunnel entrance immediately and spam the left side with an M4. This strategy helped me a lot.,1
How to cure a zombie villager?,"Weakness potion first, then golden apple. They will give you massive trade discounts after.",1
How to improve aiming in Valorant?,I just started playing this game yesterday and I have no idea what's going on.,0
How to use the Sandy effectively in melee?,"My internet is lagging hard today, can't even play.",0
What is the best build to beat the Elden Beast?,"Stay behind it when it breathes fire, you can get 4-5 free hits. This made a huge difference.",1
How does the sub-tick system work in CS2?,I just started playing this game yesterday and I have no idea what's going on.,0
Best controller agent for Ascent?,"Basically, Play Omen. Ascent has a lot of verticality and his teleport gets tricky angles.",1
Best cyberdeck for a netrunner build 2.0?,Tetratronic Rippler Mk.5 has the best queue execution speed and RAM recovery. This made a huge difference.,1
How to use the Sandy effectively in melee?,Dig to -59. It is much better than the old Y=11 from previous versions.,0
What is the best build to beat the Elden Beast?,The real boss is the friends we made along the way.,0
How to cure a zombie villager?,Rippler is overall the best because the combat hack damage multiplier is insane.,0
How does the economy work for loss bonus?,Does anyone know when the DLC drops?,0
Best smoke for Window on Mirage?,"To smoke window instantly, align the door frame in T spawn with the skybox tower.",1
How to improve aiming in Valorant?,Wait for the mobile port.,0
How do you build a fully automatic wheat farm?,Petition to ban the developers.,0
How does the sub-tick system work in CS2?,"From my experience, Sub-tick records the exact microsecond you clicked, rather than waiting for the next server frame.",1
How to improve aiming in Valorant?,Explosions don't destroy Ancient Debris. Use beds or TNT at Y=15.,0
How to cure a zombie villager?,Any asked?,0
How to cure a zombie villager?,Servers are down again. Awesome.,0
Best smoke for Window on Mirage?,Use the crouch walk jump throw from T spawn. Watch a yprac map for the exact pixel.,1
What is the most efficient way to get Netherite?,TNT duplication flying machines are technically the fastest if you build one at Y=15.,1
How to cure a zombie villager?,Is my RTX 3060 enough to run this on ultra?,0
When should you buy a helmet on CT side?,Extremely viable. Optical camo + throwing knives + Her Majesty pistol is OP.,0
How to improve aiming in Valorant?,The real boss is the friends we made along the way.,0
How to use the Sandy effectively in melee?,Buy a Spectre and heavy shields. You can run and gun the unarmored enemies.,0
How do you build a fully automatic wheat farm?,You must use a villager. Redstone water farms require you to replant manually.,1
Best controller agent for Ascent?,Give it to the Twin Maiden Husks at Roundtable Hold to buy stones 1 and 2.,0
Best cyberdeck for a netrunner build 2.0?,I miss the old days before the nerfs.,0
What is the best build to beat the Elden Beast?,Throwing knife headshots instantly kill unarmored enemies without alerting anyone.,0
How does the economy work for loss bonus?,Losing nets 1900 -> 2400 -> 2900. Plating spike gives an extra 300. This made a huge difference.,1
How do you build a fully automatic wheat farm?,"Just tried this. The villager throws bread/wheat to another trapped villager, but a hopper intercepts it.",1
What is the best eco weapon round 2 after winning pistol?,Buy a Spectre and heavy shields. You can run and gun the unarmored enemies. Tested this myself and it works perfectly.,1
Is stealth viable in Cyberpunk Phantom Liberty?,"Basically, Stealth netrunning is the most overpowered build in the game if done right.",1
Best controller agent for Ascent?,Touch grass.,0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,Console is better than PC anyway.,0
How to use the Sandy effectively in melee?,Throwing knives are broken with Sandy. You can headshot 5 people in frozen time. Tested this myself and it works perfectly.,1
Best cyberdeck for a netrunner build 2.0?,Tetratronic Rippler Mk.5 has the best queue execution speed and RAM recovery. This is the most reliable method.,1
How does the sub-tick system work in CS2?,"Basically, Unlike 64-tick, sub-tick timestamps your actions so movement and shooting are exact.",1
What are the soft caps for Vigor in Elden Ring?,Is this game worth buying on sale?,0
Is stealth viable in Cyberpunk Phantom Liberty?,Why are the devs ignoring the real bugs?,0
What is the best eco weapon round 2 after winning pistol?,"Against AKs, helmet is useless. Keep your $350.",0
How do you build a fully automatic wheat farm?,"After hours of trying, I can say: Use a farmer villager trapped inside a glass box. He farms it and throws it to a hopper minecart.",1
When should you buy a helmet on CT side?,"If the T side is on a full buy with AK-47s, skip the helmet. Save your economy.",1
How to cure a zombie villager?,Who even plays this mode anymore?,0
How to use the Sandy effectively in melee?,Activate it only when getting shot at. Use dash-attacks to close the gap. This strategy helped me a lot.,1
What is the best Y level to mine for diamonds in 1.20?,Seconding this advice. Y = -59. Use a trapdoor to crawl-mine in a 1x1 hole to expose more blocks faster.,1
How do you build a fully automatic wheat farm?,"My framerate keeps dropping to 20fps, any fix?",0
What is the best Y level to mine for diamonds in 1.20?,Go to the orange cave dot on the map northeast of Liurnia lakes.,0
How does the economy work for loss bonus?,Never save an op if you're the last alive on attack. You won't get loss bonus.,1
Is stealth viable in Cyberpunk Phantom Liberty?,"My framerate keeps dropping to 20fps, any fix?",0
Best way to hold B site on Dust 2?,Who else remembers when this game first launched?,0
What are the soft caps for Vigor in Elden Ring?,Anyone want to queue together? Drop your discord.,0
How do you dodge Waterfowl Dance from Malenia?,You just have to practice the spacing. Sprinting away immediately is key. Tested this myself and it works perfectly.,1
How does the economy work for loss bonus?,"If you survive the round but lose the objective, you only get 1000 credits.",1
Best way to hold B site on Dust 2?,The graphics look way better after the last patch.,0
How to cure a zombie villager?,"Trap it, weakness potion, golden apple. Wait about 3 minutes for it to shake and cure.",1
How to cure a zombie villager?,"This is solid advice: Throw a Splash Potion of Weakness at it, then feed it a Golden Apple.",1
How to cure a zombie villager?,"This game is dead, uninstall it.",0
What is the best eco weapon round 2 after winning pistol?,Go to the orange cave dot on the map northeast of Liurnia lakes.,0
When should you buy a helmet on CT side?,Northeast corner of Liurnia. Look for the cave entrance below the cliffs.,0
How does the economy work for loss bonus?,Why are the devs ignoring the real bugs?,0
Where to get the Apogee Sandevistan?,"This is the correct answer. In phantom liberty, you can buy it in Dogtown as long as you are level 40.",1
How does the economy work for loss bonus?,Who even plays this mode anymore?,0
What is the best eco weapon round 2 after winning pistol?,"I agree. If you play Jett, buy a Marshal and hold long angles.",1
How does the sub-tick system work in CS2?,Omen. You can use his paranoia down B main to stop the entire rush.,0
When should you buy a helmet on CT side?,The graphics look way better after the last patch.,0
How to cure a zombie villager?,"Throw a Splash Potion of Weakness at it, then feed it a Golden Apple. Would definitely recommend trying this.",1
Where to get the Apogee Sandevistan?,I agree. Tier 5 cyberware starts appearing at level 40. Apogee is among them.,1
How to use the Sandy effectively in melee?,Here's what worked for me: Pair it with the Byakko katana. The lunge ignores slow time physics.,1
Best smoke for Window on Mirage?,"40 gives you 1450 HP, 60 gives you 1900 HP. That's the sweet spot.",0
Where to get the Apogee Sandevistan?,Any asked?,0
What are the soft caps for Vigor in Elden Ring?,"This game is dead, uninstall it.",0
How to improve aiming in Valorant?,Do the Miyagi method in Deathmatch. Track heads without shooting for 10 minutes.,1
How does the sub-tick system work in CS2?,Has anyone tried the new update? It broke my save file.,0
When should you buy a helmet on CT side?,Does anyone know when the DLC drops?,0
Is stealth viable in Cyberpunk Phantom Liberty?,"To smoke window instantly, align the door frame in T spawn with the skybox tower.",0
What are the soft caps for Vigor in Elden Ring?,"40 gives you 1450 HP, 60 gives you 1900 HP. That's the sweet spot.",1
Best smoke for Window on Mirage?,"Can confirm this works. Crouch in T spawn trash can, aim top of the antenna, jump throw.",1
How does the economy work for loss bonus?,Console is better than PC anyway.,0
What is the most efficient way to get Netherite?,Just tried this. Ancient debris spawns most at Y=15. Bed mining is the fastest way to clear area.,1
How does the sub-tick system work in CS2?,The graphics look way better after the last patch.,0
How does the economy work for loss bonus?,I agree. Loss bonus maxes at 2900. Use this to calculate if you can buy next round.,1
How do you build a fully automatic wheat farm?,You must use a villager. Redstone water farms require you to replant manually. Tested this myself and it works perfectly.,1
Best cyberdeck for a netrunner build 2.0?,Netwatch Netdriver Mk.5 if you want your hacks to spread through cameras.,1
How do you dodge Waterfowl Dance from Malenia?,Imagine paying $60 for this.,0
How to cure a zombie villager?,Make sure they are under a roof so they don't burn in daylight while curing. Weakness + Gold Apple. This is the most reliable method.,1
Where to get the Apogee Sandevistan?,"Just watched a streamer play this, looks fun.",0
Where to get the Apogee Sandevistan?,It spawns at ripperdocs when you hit Street Cred 50 and Level 40.,1
How to improve aiming in Valorant?,Use an aim trainer like AimLabs. Do the Sixshot gridshot tasks for precision.,1
How does the sub-tick system work in CS2?,Sub-tick eliminates the need for jump-throw binds because the timestamp is exact.,1
Best way to hold B site on Dust 2?,"Just tried this. If you play back plat, make sure you have a smoke to isolate the site entrance.",1
How does the sub-tick system work in CS2?,This is solid advice: It breaks tickrate reliance. The server knows exactly when your mouse clicked.,1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,"Weakness potion first, then golden apple. They will give you massive trade discounts after.",0
Best smoke for Window on Mirage?,"My framerate keeps dropping to 20fps, any fix?",0
What is the most efficient way to get Netherite?,I miss the old days before the nerfs.,0
What is the best eco weapon round 2 after winning pistol?,Any asked?,0
What is the best eco weapon round 2 after winning pistol?,Bulldog is a safer long-term investment if you expect to survive to round 3.,1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,My cat walked on my keyboard and played better than you.,0
How do you dodge Waterfowl Dance from Malenia?,Is my RTX 3060 enough to run this on ultra?,0
What is the best eco weapon round 2 after winning pistol?,"Block the first flurry with a 100% physical shield, then dodge the rest.",0
Where to get the Apogee Sandevistan?,TNT duplication flying machines are technically the fastest if you build one at Y=15.,0
What is the most efficient way to get Netherite?,Use the Mantis Blades leap attack. It covers distance instantly in slowed time.,0
What is the best Y level to mine for diamonds in 1.20?,Y-level -59 is the optimal height since diamonds spawn more frequently deeper down.,1
What is the best Y level to mine for diamonds in 1.20?,I just started playing this game yesterday and I have no idea what's going on.,0
How does the economy work for loss bonus?,The deeper the better. Stop right before bedrock at -59 for maximum efficiency.,0
What are the soft caps for Vigor in Elden Ring?,Smoke tunnel entrance immediately and spam the left side with an M4.,0
What is the best build to beat the Elden Beast?,"Arasaka Mk.5 is great for stealth builds, reduces trace progression.",0
What is the best eco weapon round 2 after winning pistol?,Who even plays this mode anymore?,0
Where to get the Apogee Sandevistan?,Console is better than PC anyway.,0
Where to get the Apogee Sandevistan?,The Apogee is level-locked. Grind to level 40 and check any Ripperdoc trade menu. This made a huge difference.,1
Best smoke for Window on Mirage?,Use the crouch walk jump throw from T spawn. Watch a yprac map for the exact pixel. This is the most reliable method.,1
How does the sub-tick system work in CS2?,Is this game worth buying on sale?,0
How do you dodge Waterfowl Dance from Malenia?,"Run away for flurry 1, roll into her for flurry 2, walk right for flurry 3.",1
Best controller agent for Ascent?,I agree. Brimstone is okay for executes but Omen's global range makes him the top pick.,1
How does the economy work for loss bonus?,"Yes, the new pistol perk tree makes silenced revolvers one-shot everything.",0
What is the best Y level to mine for diamonds in 1.20?,Why are the devs ignoring the real bugs?,0
What are the soft caps for Vigor in Elden Ring?,"After hours of trying, I can say: First soft cap: 40. Second soft cap: 60.",1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,I just started playing this game yesterday and I have no idea what's going on.,0
Best cyberdeck for a netrunner build 2.0?,"Just tried this. Arasaka Mk.5 is great for stealth builds, reduces trace progression.",1
What is the most efficient way to get Netherite?,I agree. Go to Y-level 15 in the Nether. Dig a long tunnel and explode beds every 5 blocks.,1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,"My framerate keeps dropping to 20fps, any fix?",0
What is the most efficient way to get Netherite?,Vigor scales best between levels 30 and 40. The absolute cap to aim for is 60.,0
How do you dodge Waterfowl Dance from Malenia?,Mine at -58 or -59. Beware of lava lakes at this depth.,0
Best way to hold B site on Dust 2?,Use a bleed build or black flame incantations. Avoid holy damage.,0
What is the best eco weapon round 2 after winning pistol?,"If you got 3+ kills, buy a Vandal/Phantom. Otherwise, Spectre.",1
What is the most efficient way to get Netherite?,Who else remembers when this game first launched?,0
How to use the Sandy effectively in melee?,"TNT mining at Y level 15. If you lack gunpowder, use beds instead.",0
Best way to hold B site on Dust 2?,"One player window with an AWP, one player close left tunnel with a flash. This made a huge difference.",1
Best controller agent for Ascent?,If you are point blank: circle around her left leg then roll forward twice.,0
Best smoke for Window on Mirage?,"If you survive the round but lose the objective, you only get 1000 credits.",0
How do you build a fully automatic wheat farm?,Use a farmer villager trapped inside a glass box. He farms it and throws it to a hopper minecart.,1
Is stealth viable in Cyberpunk Phantom Liberty?,I agree. Stealth netrunning is the most overpowered build in the game if done right.,1
How to use the Sandy effectively in melee?,"Turn it on, sprint into the middle of the room, throwing knife everyone's head.",1
How do you build a fully automatic wheat farm?,Is my RTX 3060 enough to run this on ultra?,0
Where to get the Apogee Sandevistan?,"Just watched a streamer play this, looks fun.",0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,"Just tried this. Located in the Liurnia of the Lakes region, inside the Crystal Tunnel.",1
Where to get the Apogee Sandevistan?,Sub-tick eliminates the need for jump-throw binds because the timestamp is exact.,0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,Imagine paying $60 for this.,0
What is the best build to beat the Elden Beast?,"Jiggle peek from doors to get information, then fall back and hold site.",0
How to cure a zombie villager?,"Basically, Get a brewer, make weakness potion, splash it on the zombie, give it a gold apple.",1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,"If you clear the Raya Lucaria Crystal Tunnel, the boss drops it. Would definitely recommend trying this.",1
Best smoke for Window on Mirage?,"From top mid, stand at the cart, aim at the middle of the antenna and regular throw.",1
How do you dodge Waterfowl Dance from Malenia?,I agree. Use Raptor of the Mists ash of war to jump completely over the first flurry.,1
What is the best Y level to mine for diamonds in 1.20?,Mine at -58 or -59. Beware of lava lakes at this depth. Would definitely recommend trying this.,1
Is stealth viable in Cyberpunk Phantom Liberty?,"Here's what worked for me: Yes, use the 'Her Majesty' pistol you get in the DLC, it has perfect stealth stats.",1
What is the best build to beat the Elden Beast?,Crimsonwhorl Bubbletear completely negates the holy beam attacks.,1
How to cure a zombie villager?,"Crouch in T spawn trash can, aim top of the antenna, jump throw.",0
Best smoke for Window on Mirage?,"This game is dead, uninstall it.",0
Best cyberdeck for a netrunner build 2.0?,Is this game worth buying on sale?,0
When should you buy a helmet on CT side?,"You need an enclosed farm, a composter, and a villager whose inventory is full of seeds.",0
What are the soft caps for Vigor in Elden Ring?,I just spent 10 hours playing and forgot to eat.,0
Best way to hold B site on Dust 2?,"One player window with an AWP, one player close left tunnel with a flash.",1
Best smoke for Window on Mirage?,Omen's kit is perfectly tailored for Ascent's short choke points.,0
Is stealth viable in Cyberpunk Phantom Liberty?,Optical camo combined with the relic tree makes you practically invisible. Would definitely recommend trying this.,1
What is the best build to beat the Elden Beast?,Switch to a Strike weapon like giant crushers. It is immune to bleed. This is the most reliable method.,1
When should you buy a helmet on CT side?,Is my RTX 3060 enough to run this on ultra?,0
How to cure a zombie villager?,"Seconding this advice. Lock it in a boat, hit it with splash weakness, feed golden apple.",1
How to use the Sandy effectively in melee?,"Basically, Satori katana gives insane crit damage, perfect for slowed headshots.",1
Is stealth viable in Cyberpunk Phantom Liberty?,"After hours of trying, I can say: Extremely viable. Optical camo + throwing knives + Her Majesty pistol is OP.",1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,Wait for the mobile port.,0
What are the soft caps for Vigor in Elden Ring?,Someone please help me find a good monitor for gaming.,0
What is the best build to beat the Elden Beast?,Switch to a Strike weapon like giant crushers. It is immune to bleed.,1
Best cyberdeck for a netrunner build 2.0?,Any asked?,0
What is the best build to beat the Elden Beast?,This is solid advice: Dual-wield curved swords with jump attacks breaks its poise fast.,1
Best controller agent for Ascent?,This is the correct answer. Brimstone is okay for executes but Omen's global range makes him the top pick.,1
How do you dodge Waterfowl Dance from Malenia?,Seconding this advice. You just have to practice the spacing. Sprinting away immediately is key.,1
Best cyberdeck for a netrunner build 2.0?,"I agree. Get the Militech Paraline early game, then upgrade to Rippler later.",1
What is the best eco weapon round 2 after winning pistol?,"Spectre/Heavy shields is standard, but Bulldog is great for long range on Breeze.",1
What is the best eco weapon round 2 after winning pistol?,Console is better than PC anyway.,0
What are the soft caps for Vigor in Elden Ring?,Who even plays this mode anymore?,0
How does the sub-tick system work in CS2?,"Seconding this advice. Animations may look slightly delayed, but the hit-registration is timestamped.",1
How to improve aiming in Valorant?,Can confirm this works. Lower your sensitivity. Most pros play around 200-400 eDPI.,1
Best smoke for Window on Mirage?,Any asked?,0
How do you build a fully automatic wheat farm?,"Basically, Enclose an 8x8 dirt area with water in middle. Add a farmer villager and hopper carts underneath.",1
Best controller agent for Ascent?,Pair it with the Byakko katana. The lunge ignores slow time physics.,0
Best way to hold B site on Dust 2?,I literally fell asleep reading this post.,0
How does the sub-tick system work in CS2?,Use the Mantis Blades leap attack. It covers distance instantly in slowed time.,0
How do you build a fully automatic wheat farm?,"Water streams pushing wheat into hoppers is manual. For automatic, use Villager mechanics.",1
Where to get the Apogee Sandevistan?,"Block the first flurry with a 100% physical shield, then dodge the rest.",0
How does the economy work for loss bonus?,"Basically, Never save an op if you're the last alive on attack. You won't get loss bonus.",1
How do you build a fully automatic wheat farm?,I just started playing this game yesterday and I have no idea what's going on.,0
Best controller agent for Ascent?,The real boss is the friends we made along the way.,0
Best smoke for Window on Mirage?,Play Deathmatch but unbind your crouch key so you stop spraying.,0
What is the most efficient way to get Netherite?,"Strip mining with an Efficiency 5 pickaxe at Y=15 is safer, but beds are faster.",1
Is stealth viable in Cyberpunk Phantom Liberty?,Buy full armor and a Spectre. Force the enemy to fight an unfair gunfight.,0
How to improve aiming in Valorant?,Here's what worked for me: Practice counter-strafing in the range until shooting feels perfectly accurate.,1
Best controller agent for Ascent?,Astra used to be good but Omen's regenerating smokes and blind win on Ascent.,1
What is the best build to beat the Elden Beast?,"This is the correct answer. Haligdrake Talisman +2 is mandatory, reduces holy damage massively.",1
Best cyberdeck for a netrunner build 2.0?,"Run away for flurry 1, roll into her for flurry 2, walk right for flurry 3.",0
Best controller agent for Ascent?,I just spent 10 hours playing and forgot to eat.,0
How do you dodge Waterfowl Dance from Malenia?,Wait for the mobile port.,0
How to use the Sandy effectively in melee?,Explosions don't destroy Ancient Debris. Use beds or TNT at Y=15.,0
What are the soft caps for Vigor in Elden Ring?,"Here's what worked for me: The first major soft cap is 40, the hard cap where you stop is 60.",1
How to improve aiming in Valorant?,Who else remembers when this game first launched?,0
Where to get the Apogee Sandevistan?,"This game is dead, uninstall it.",0
What is the best eco weapon round 2 after winning pistol?,Bring Fire Resistance potions and use the bed bombing strategy at Y=15.,0
How does the sub-tick system work in CS2?,Is my RTX 3060 enough to run this on ultra?,0
What is the best eco weapon round 2 after winning pistol?,"From my experience, Spectre is best for taking space. Run and gun while they have classics.",1
Where to get the Apogee Sandevistan?,No specific location anymore in 2.0. All ripperdocs sell it at tier 5 (level 40).,1
Best controller agent for Ascent?,Anyone want to queue together? Drop your discord.,0
How do you build a fully automatic wheat farm?,Any asked?,0
How to improve aiming in Valorant?,"If Ts are on eco, helmet is mandatory so you don't get one-tapped by a glock.",0
Where to get the Apogee Sandevistan?,Reach Level 40+ and buy it for ~110k eddies from any ripperdoc.,1
How to cure a zombie villager?,"Hit them with weakness splash potion, then click them with a regular Golden Apple.",1
Best way to hold B site on Dust 2?,"I agree. Jiggle peek from doors to get information, then fall back and hold site.",1
How to use the Sandy effectively in melee?,Skill issue.,0
What are the soft caps for Vigor in Elden Ring?,Y-level -59 is the optimal height since diamonds spawn more frequently deeper down.,0
Is stealth viable in Cyberpunk Phantom Liberty?,It's great. Grab the 'Gag Order' perk and you can stealth-kill enemies in crowds.,1
Best smoke for Window on Mirage?,"First loss you get 1900, second in a row 2400, third maximum is 2900.",0
Best cyberdeck for a netrunner build 2.0?,"After hours of trying, I can say: For pure damage: Tetratronic Rippler. For stealth: Arasaka.",1
How do you build a fully automatic wheat farm?,I think the soundtrack is the best part of this game.,0
What is the best build to beat the Elden Beast?,"Basically, Stay behind it when it breathes fire, you can get 4-5 free hits.",1
What are the soft caps for Vigor in Elden Ring?,I miss the old days before the nerfs.,0
Best cyberdeck for a netrunner build 2.0?,Astra used to be good but Omen's regenerating smokes and blind win on Ascent.,0
